id,date,time,incident_type,point_x,point_y,longitude,latitude
5666,1/28/2013 0:00:00,"18:00:00",6,124114.27,271718.79,-67.1518472183,18.4799586153
5667,1/16/2013 0:00:00,"03:00:00",5,137733.45,268726.74,-67.0228056272,18.4533663532
5668,1/18/2013 0:00:00,"07:15:00",3,121135.04,259942.39,-67.1796009441,18.373456455
5669,1/30/2013 0:00:00,"13:00:00",6,140836.76,255776.22,-66.9930522944,18.3364512247
5670,1/22/2013 0:00:00,"12:25:00",6,124003.61,264321.07,-67.1526198462,18.4131197939
5671,1/29/2013 0:00:00,"09:40:00",6,123975.57,270499.70,-67.1531150965,18.4689398464
5672,1/21/2013 0:00:00,"23:00:00",5,120853.45,256799.55,-67.1821438783,18.3450516273
5673,1/29/2013 0:00:00,"17:00:00",5,123562.20,259364.61,-67.1566123469,18.368324415
5674,1/24/2013 0:00:00,"15:30:00",6,141058.57,270898.23,-66.9913898391,18.4730788635
5675,1/30/2013 0:00:00,"11:00:00",6,127056.87,270120.91,-67.1239288165,18.4656248735
5676,1/9/2013 0:00:00,"02:22:00",5,138878.60,268518.10,-67.0119584182,18.4515143844
5677,1/16/2013 0:00:00,"08:05:00",5,140823.95,255511.95,-66.9931658403,18.3340632687
5678,2/1/2013 0:00:00,"06:45:00",6,135445.86,261890.47,-67.0442459856,18.3915357597
5679,1/26/2013 0:00:00,"16:00:00",6,131871.50,275348.57,-67.0785206553,18.5130126505
5680,1/20/2013 0:00:00,"02:00:00",3,136742.63,257615.79,-67.0318417806,18.3529541966
5681,1/18/2013 0:00:00,"11:00:00",6,124394.97,267937.84,-67.1490495546,18.4458095476
5682,1/28/2013 0:00:00,"16:00:00",6,144454.23,272703.27,-66.9592890535,18.4894773039
5683,1/25/2013 0:00:00,"15:00:00",6,129247.72,261776.79,-67.1028980866,18.3903129178
5684,1/30/2013 0:00:00,"07:30:00",6,124294.15,267587.10,-67.1499909647,18.4426372137
5685,1/25/2013 0:00:00,"17:00:00",3,114521.88,254277.62,-67.2419411552,18.3220235621
